Date,Actual_Sales,Day_Type,Coffee_Sales
2016-10-30,12,weekend,33
2016-10-31,17,weekday,60
2016-11-01,3,weekday,38
2016-11-02,1,weekday,42
2016-11-06,9,weekend,48
2016-11-07,13,weekday,41
2016-11-08,5,weekday,44
2016-11-09,1,weekday,32
2016-11-11,6,weekday,40
2016-11-12,21,weekend,55
2016-11-13,8,weekend,41
2016-11-14,10,weekday,38
2016-11-15,3,weekday,39
2016-11-16,3,weekday,30
2016-11-17,4,weekday,38
2016-11-18,3,weekday,43
2016-11-19,8,weekend,64
2016-11-21,1,weekday,30
2016-11-26,12,weekend,46
2016-11-27,6,weekend,47
2016-11-29,6,weekday,24
2016-11-30,4,weekday,25
2016-12-01,3,weekday,22
2016-12-02,1,weekday,30
2016-12-03,7,weekend,45
2016-12-04,5,weekend,35
2016-12-05,7,weekday,41
2016-12-06,5,weekday,33
2016-12-11,1,weekend,29
2016-12-13,1,weekday,27
2016-12-14,3,weekday,31
2016-12-21,1,weekday,41
2016-12-22,4,weekday,23
2016-12-23,4,weekday,33
2017-01-03,3,weekday,34
2017-01-04,1,weekday,26
2017-01-05,2,weekday,23
2017-01-06,2,weekday,29
2017-01-07,4,weekend,55
2017-01-08,2,weekend,27
2017-01-09,2,weekday,28
2017-01-10,2,weekday,18
2017-01-11,5,weekday,27
2017-01-14,1,weekend,46
2017-01-15,1,weekend,29
2017-01-16,1,weekday,16
2017-01-17,1,weekday,32
2017-01-18,3,weekday,16
2017-01-19,2,weekday,31
2017-01-20,5,weekday,41
2017-01-21,1,weekend,43
2017-01-24,2,weekday,28
2017-01-25,1,weekday,11
2017-01-26,9,weekday,27
2017-01-27,6,weekday,43
2017-01-28,4,weekend,56
2017-01-29,1,weekend,31
2017-02-16,1,weekday,24
2017-02-17,5,weekday,37
2017-02-18,3,weekend,52
2017-02-23,5,weekday,29
2017-02-24,3,weekday,38
2017-02-25,4,weekend,47
2017-03-02,1,weekday,32
2017-03-03,1,weekday,41
2017-03-04,4,weekend,57
2017-03-05,4,weekend,40
2017-03-11,4,weekend,48
2017-03-12,4,weekend,40
2017-03-13,1,weekday,33
2017-03-14,1,weekday,27
2017-03-19,3,weekend,35
2017-03-20,6,weekday,31
2017-03-21,3,weekday,32
2017-03-22,1,weekday,31
2017-03-24,3,weekday,42
2017-03-25,12,weekend,54
2017-03-26,4,weekend,35
2017-03-27,5,weekday,29
2017-03-28,6,weekday,32
2017-03-29,2,weekday,30
2017-03-30,4,weekday,33
2017-03-31,2,weekday,41
2017-04-01,2,weekend,39
2017-04-02,2,weekend,32
2017-04-05,3,weekday,30
2017-04-06,3,weekday,27
2017-04-07,2,weekday,29
2017-04-08,6,weekend,41
2017-04-09,1,weekend,17
